위치좌표 X축값 ,위치좌표 Y축값 ,구분,장소명
126.513052,33.499725,관광/숙박,도원장모텔
126.535013,33.490551,문화/종교/예술,이도교회
126.532125,33.494659,문화/종교/예술,광림교회
126.523801,33.496308,레져/스포츠,파티마헬스클럽
126.519539,33.496117,관광/숙박,동해모텔
126.519976,33.496083,관광/숙박,명신여관
126.519639,33.4973,관광/숙박,경성장여관
126.518014,33.49795,문화/종교/예술,대왕화랑
126.517939,33.499358,관광/숙박,제주R호텔
126.517926,33.499558,관광/숙박,수림장
126.513327,33.500425,관광/숙박,소라장
126.513552,33.500416,관광/숙박,신강남장여관
126.513514,33.500283,관광/숙박,해마루모텔
126.516364,33.500383,관광/숙박,송일장
126.519601,33.500558,문화/종교/예술,CBS방송문화센타
126.523751,33.500266,관광/숙박,오름모텔
126.523976,33.500283,관광/숙박,일신장
126.524363,33.499575,관광/숙박,아세아모텔
126.525201,33.49935,관광/숙박,백록담호텔
126.526663,33.499925,관광/숙박,성림장
126.526713,33.49985,관광/숙박,삼보모텔
126.527651,33.498075,문화/종교/예술,제광교회
126.527788,33.500833,관광/숙박,오렌지모텔
126.522788,33.501225,문화/종교/예술,제주성결교회
126.523213,33.500725,문화/종교/예술,제주서광장로교회
126.524188,33.500616,관광/숙박,용천모텔
126.524163,33.500758,관광/숙박,금정모텔
126.521914,33.502116,공원/산/동.식물원,어린이공원
126.519626,33.501433,관광/숙박,창도장여관
126.520489,33.501749,관광/숙박,티나모텔
126.520326,33.501891,관광/숙박,국일모텔
126.512514,33.504657,관광/숙박,호텔진성
126.519726,33.503258,관광/숙박,뉴스타모텔
126.527001,33.502208,관광/숙박,산호모텔
126.517864,33.508632,관광/숙박,한라산모텔
126.518201,33.509007,관광/숙박,한진모텔
126.518151,33.508374,관광/숙박,서울장여관
126.517851,33.508224,관광/숙박,백조여관
126.537975,33.494659,문화/종교/예술,제주교육박물관
126.546299,33.49995,문화/종교/예술,천주교동광교회
126.536625,33.497417,관광/숙박,에메랄드호텔에이스
126.541049,33.500967,문화/종교/예술,제주학생문화원
126.533313,33.499783,문화/종교/예술,복된장로교회
126.526276,33.506024,관광/숙박,제주KAL호텔
126.5276,33.504983,관광/숙박,호텔하니크라운
126.529838,33.505033,문화/종교/예술,대각사
126.5314,33.506266,문화/종교/예술,제주특별자치도민속자연사박물관
126.528038,33.506232,관광/숙박,호텔미림장
126.526063,33.506357,관광/숙박,아담장
126.526326,33.506466,관광/숙박,영빈관
126.5271,33.506424,문화/종교/예술,제주남부교회
126.528438,33.505241,관광/숙박,제주삼성혈
126.540662,33.505741,관광/숙박,레몬장여관
126.534125,33.505766,관광/숙박,제주민속관광타운
126.535912,33.505524,관광/숙박,동남아여관
126.524538,33.508299,관광/숙박,생수장
126.53225,33.508024,관광/숙박,파크힐
126.534837,33.506949,관광/숙박,대아장모텔
126.534962,33.506707,관광/숙박,알프스호텔
126.589732,33.510358,관광/숙박,도련그린파크장
126.586607,33.52219,문화/종교/예술,삼양장로교회
126.576508,33.52219,문화/종교/예술,제주민속박물관
126.539462,33.509041,관광/숙박,하나장
126.544349,33.508449,문화/종교/예술,제주순복음교회
126.542637,33.509749,관광/숙박,개성장
126.542287,33.509757,관광/숙박,명원모텔
126.539024,33.511082,관광/숙박,장원장
126.543124,33.511049,문화/종교/예술,제주영락교회
126.541224,33.51324,관광/숙박,크라운호텔
126.539712,33.51369,관광/숙박,호텔유원모텔
126.537962,33.512549,레져/스포츠,조흥골프연습장
126.538637,33.513932,관광/숙박,부림장
126.541049,33.513299,관광/숙박,로즈장호텔
126.540937,33.513932,관광/숙박,호텔사라봉
126.541074,33.513898,관광/숙박,모텔오당장
126.539587,33.514173,관광/숙박,봉성모텔
126.539662,33.514465,관광/숙박,동백장
126.545924,33.51734,공원/산/동.식물원,사라봉공원
126.546086,33.516032,관광/숙박,모충사
126.538399,33.518031,문화/종교/예술,한국SGI제주문화회관
126.538174,33.517706,관광/숙박,신천지호텔
126.531912,33.51149,관광/숙박,호텔쌍송
126.531637,33.510724,관광/숙박,청원장
126.523126,33.511098,관광/숙박,갤러리모텔
126.519339,33.510523,관광/숙박,제주퍼시픽호텔
126.519426,33.511023,관광/숙박,무궁화모텔
126.521463,33.511115,관광/숙박,세안장여관
126.522951,33.511923,문화/종교/예술,천주교중앙교회
126.522113,33.512498,관광/숙박,유나모텔
126.520401,33.512248,문화/종교/예술,제주성내교회
126.523276,33.512023,문화/종교/예술,가톨릭회관
126.515664,33.51109,관광/숙박,제주향교
126.525825,33.510307,관광/숙박,제주향노당제주성지
126.526975,33.51379,관광/숙박,대동호텔
126.526813,33.513473,관광/숙박,세림장
126.524513,33.515715,관광/숙박,남경시티호텔
126.520701,33.517448,관광/숙박,태경모텔
126.521076,33.517348,관광/숙박,명동장모텔
126.524013,33.518173,문화/종교/예술,탑동해변공연장
126.526488,33.518081,레져/스포츠,탑동자전거인라인부
126.523688,33.516831,관광/숙박,제주팔레스호텔
126.524225,33.516748,관광/숙박,제주서울관광호텔
126.525125,33.515848,관광/숙박,태양장
126.526613,33.51639,관광/숙박,사모아모텔
126.527838,33.51624,관광/숙박,임프레스호텔
126.577713,33.297373,문화/종교/예술,제주기도원
126.564377,33.274217,레져/스포츠,서귀중앙골프장
126.535768,33.261285,문화/종교/예술,서귀포성결교회
126.559366,33.266201,문화/종교/예술,면형의집
126.520139,33.503441,관광/숙박,호텔서사라
126.53195,33.502541,관광/숙박,영동장여관
126.58132,33.524673,관광/숙박,해변민박
126.570634,33.517749,문화/종교/예술,천주교화북교회
126.546249,33.51759,문화/종교/예술,보림사
126.512002,33.507015,문화/종교/예술,천주교서문교회
126.540724,33.505041,레져/스포츠,베스트볼링장
126.542399,33.503433,레져/스포츠,팬코리아볼링센터
126.543199,33.510224,관광/숙박,동천호텔
126.543061,33.509891,관광/숙박,호텔천하
126.530075,33.508099,문화/종교/예술,일도교회
126.523576,33.516515,관광/숙박,모텔굿나잇
126.523513,33.516273,관광/숙박,탑에이스모텔
126.528788,33.51549,관광/숙박,산수모텔
126.521688,33.513348,관광/숙박,관덕정
126.517926,33.518889,관광/숙박,라마다플라자제주호텔
126.514102,33.506091,관광/숙박,한백장
126.226879,33.385841,관광/숙박,금능석물원
126.674264,33.433359,관광/숙박,제주미니랜드
126.555262,33.436774,관광/숙박,신비의도로2
126.487643,33.450613,관광/숙박,신비의도로1
126.842163,33.38161,관광/숙박,일출랜드
126.841976,33.381585,관광/숙박,미천굴
126.771791,33.53665,관광/숙박,제주김녕미로공원
126.229969,33.257189,문화/종교/예술,초콜릿박물관
126.924992,33.454678,관광/숙박,유채꽃재배단지
126.408392,33.249084,관광/숙박,제주스위트호텔
126.494722,33.25176,문화/종교/예술,용운사
126.48521,33.250093,관광/숙박,동백민박
126.484572,33.250093,문화/종교/예술,대천교회
126.476261,33.251976,문화/종교/예술,제주동부장로교회
126.475723,33.252276,관광/숙박,불루성민박
126.472048,33.252376,문화/종교/예술,원불교도순교당
126.480686,33.235237,관광/숙박,서부민박
126.478886,33.23237,관광/숙박,솔대왓펜션
126.475899,33.229012,관광/숙박,숨비소리
126.459075,33.249476,관광/숙박,뜨레피아펜션
126.211446,33.25848,문화/종교/예술,영락그리스도의교회
126.210396,33.255197,문화/종교/예술,대정영락교회
126.656813,33.547813,관광/숙박,메르빌
126.665188,33.542497,관광/숙박,오션그랜드호텔
126.666725,33.53679,문화/종교/예술,제칠일안식재림교회
126.669837,33.53659,문화/종교/예술,국제도덕협회일관도명세법당
126.676949,33.536531,관광/숙박,그린하우스
126.673625,33.53349,문화/종교/예술,함덕제일감리교회
126.235644,33.263813,레져/스포츠,대정문화체육센터
126.4598,33.244702,문화/종교/예술,월평교회
126.45705,33.254251,관광/숙박,허니문펜션
126.230193,33.297276,문화/종교/예술,경산교회
126.453575,33.253884,관광/숙박,제주휴펜션
126.248066,33.320565,문화/종교/예술,청수성결교회
126.246229,33.322773,문화/종교/예술,천주교청수성당
126.229318,33.335105,문화/종교/예술,천주교회조수공소
126.439489,33.251451,관광/숙박,오렌지민박
126.436902,33.250901,관광/숙박,스프링힐제주
126.434002,33.250284,관광/숙박,산타하우스
126.182222,33.330921,문화/종교/예술,제주옐림교회
126.17301,33.330055,문화/종교/예술,나비레
